"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Ceará";"Borracha (látex líquido)";"2017";"Valor da produção (Mil Reais)";"..."
"Ceará";"Borracha (látex líquido)";"2018";"Valor da produção (Mil Reais)";"..."
"Ceará";"Borracha (látex líquido)";"2019";"Valor da produção (Mil Reais)";"..."
"Ceará";"Borracha (látex líquido)";"2020";"Valor da produção (Mil Reais)";"..."
"Ceará";"Cacau (em amêndoa)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cacau (em amêndoa)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cacau (em amêndoa)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cacau (em amêndoa)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cacau (em amêndoa)";"2020";"Valor da produção (Mil Reais)";"73"
"Ceará";"Café (em grão) Total";"2016";"Valor da produção (Mil Reais)";"4860"
"Ceará";"Café (em grão) Total";"2017";"Valor da produção (Mil Reais)";"4441"
"Ceará";"Café (em grão) Total";"2018";"Valor da produção (Mil Reais)";"3531"
"Ceará";"Café (em grão) Total";"2019";"Valor da produção (Mil Reais)";"3711"
"Ceará";"Café (em grão) Total";"2020";"Valor da produção (Mil Reais)";"3229"
"Ceará";"Café (em grão) Arábica";"2016";"Valor da produção (Mil Reais)";"4742"
"Ceará";"Café (em grão) Arábica";"2017";"Valor da produção (Mil Reais)";"4325"
"Ceará";"Café (em grão) Arábica";"2018";"Valor da produção (Mil Reais)";"3347"
"Ceará";"Café (em grão) Arábica";"2019";"Valor da produção (Mil Reais)";"3408"
"Ceará";"Café (em grão) Arábica";"2020";"Valor da produção (Mil Reais)";"2925"
"Ceará";"Café (em grão) Canephora";"2016";"Valor da produção (Mil Reais)";"118"
"Ceará";"Café (em grão) Canephora";"2017";"Valor da produção (Mil Reais)";"116"
"Ceará";"Café (em grão) Canephora";"2018";"Valor da produção (Mil Reais)";"184"
"Ceará";"Café (em grão) Canephora";"2019";"Valor da produção (Mil Reais)";"303"
"Ceará";"Café (em grão) Canephora";"2020";"Valor da produção (Mil Reais)";"304"
