"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Município";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Acopiara (CE)";"Batata-inglesa";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Batata-inglesa";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Borracha (látex coagulado)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Borracha (látex coagulado)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Borracha (látex coagulado)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Borracha (látex coagulado)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Borracha (látex coagulado)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Borracha (látex líquido)";"2016";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Borracha (látex líquido)";"2017";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Borracha (látex líquido)";"2018";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Borracha (látex líquido)";"2019";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Borracha (látex líquido)";"2020";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Cacau (em amêndoa)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cacau (em amêndoa)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cacau (em amêndoa)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cacau (em amêndoa)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cacau (em amêndoa)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Total";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Total";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Total";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Total";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Total";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Arábica";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Arábica";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Arábica";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Arábica";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Arábica";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Canephora";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Canephora";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Canephora";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Canephora";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Café (em grão) Canephora";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Caju";"2016";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Caju";"2017";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Caju";"2018";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Caju";"2019";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Caju";"2020";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Cana-de-açúcar";"2016";"Valor da produção (Mil Reais)";"110"
"Acopiara (CE)";"Cana-de-açúcar";"2017";"Valor da produção (Mil Reais)";"45"
"Acopiara (CE)";"Cana-de-açúcar";"2018";"Valor da produção (Mil Reais)";"100"
"Acopiara (CE)";"Cana-de-açúcar";"2019";"Valor da produção (Mil Reais)";"292"
"Acopiara (CE)";"Cana-de-açúcar";"2020";"Valor da produção (Mil Reais)";"520"
"Acopiara (CE)";"Cana para forragem";"2016";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Cana para forragem";"2017";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Cana para forragem";"2018";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Cana para forragem";"2019";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Cana para forragem";"2020";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Caqui";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Caqui";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Caqui";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Caqui";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Caqui";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Castanha de caju";"2016";"Valor da produção (Mil Reais)";"2"
"Acopiara (CE)";"Castanha de caju";"2017";"Valor da produção (Mil Reais)";"2"
"Acopiara (CE)";"Castanha de caju";"2018";"Valor da produção (Mil Reais)";"3"
"Acopiara (CE)";"Castanha de caju";"2019";"Valor da produção (Mil Reais)";"3"
"Acopiara (CE)";"Castanha de caju";"2020";"Valor da produção (Mil Reais)";"4"
