"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Município";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Ararendá (CE)";"Urucum (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Urucum (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Urucum (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Uva";"2016";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Uva";"2017";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Uva";"2018";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Uva";"2019";"Valor da produção (Mil Reais)";"-"
"Ararendá (CE)";"Uva";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacate";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacate";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacate";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacate";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacate";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacaxi*";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacaxi*";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacaxi*";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacaxi*";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Abacaxi*";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Açaí";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Açaí";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Açaí";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Açaí";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Açaí";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Alfafa fenada";"2016";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Alfafa fenada";"2017";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Alfafa fenada";"2018";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Alfafa fenada";"2019";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Alfafa fenada";"2020";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Algodão arbóreo (em caroço)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão arbóreo (em caroço)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão arbóreo (em caroço)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão arbóreo (em caroço)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão arbóreo (em caroço)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão herbáceo (em caroço)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão herbáceo (em caroço)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão herbáceo (em caroço)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão herbáceo (em caroço)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Algodão herbáceo (em caroço)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Alho";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Alho";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Alho";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Alho";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Alho";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Amendoim (em casca)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Amendoim (em casca)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Amendoim (em casca)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Amendoim (em casca)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Amendoim (em casca)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Arroz (em casca)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Arroz (em casca)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Arroz (em casca)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Arroz (em casca)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Arroz (em casca)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Aveia (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Aveia (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Aveia (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Aveia (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Aveia (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Azeitona";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Azeitona";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Azeitona";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Azeitona";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Azeitona";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Banana (cacho)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Banana (cacho)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Banana (cacho)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Banana (cacho)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Banana (cacho)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-doce";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-doce";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-doce";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-doce";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-doce";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-inglesa";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-inglesa";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-inglesa";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-inglesa";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Batata-inglesa";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Borracha (látex coagulado)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Borracha (látex coagulado)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Borracha (látex coagulado)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Borracha (látex coagulado)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Borracha (látex coagulado)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Borracha (látex líquido)";"2016";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Borracha (látex líquido)";"2017";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Borracha (látex líquido)";"2018";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Borracha (látex líquido)";"2019";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Borracha (látex líquido)";"2020";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Cacau (em amêndoa)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cacau (em amêndoa)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cacau (em amêndoa)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cacau (em amêndoa)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cacau (em amêndoa)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Total";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Total";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Total";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Total";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Total";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Arábica";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Arábica";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Arábica";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Arábica";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Arábica";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Canephora";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Canephora";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Canephora";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Canephora";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Café (em grão) Canephora";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Caju";"2016";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Caju";"2017";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Caju";"2018";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Caju";"2019";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Caju";"2020";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Cana-de-açúcar";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cana-de-açúcar";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cana-de-açúcar";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cana-de-açúcar";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cana-de-açúcar";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cana para forragem";"2016";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Cana para forragem";"2017";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Cana para forragem";"2018";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Cana para forragem";"2019";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Cana para forragem";"2020";"Valor da produção (Mil Reais)";"..."
"Arneiroz (CE)";"Caqui";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Caqui";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Caqui";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Caqui";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Caqui";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Castanha de caju";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Castanha de caju";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Castanha de caju";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Castanha de caju";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Castanha de caju";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cebola";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cebola";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cebola";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cebola";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cebola";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Centeio (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Centeio (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Centeio (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Centeio (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Centeio (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cevada (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cevada (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cevada (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cevada (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Cevada (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Chá-da-índia (folha verde)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Chá-da-índia (folha verde)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Chá-da-índia (folha verde)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Chá-da-índia (folha verde)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Chá-da-índia (folha verde)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Coco-da-baía*";"2016";"Valor da produção (Mil Reais)";"6"
"Arneiroz (CE)";"Coco-da-baía*";"2017";"Valor da produção (Mil Reais)";"5"
"Arneiroz (CE)";"Coco-da-baía*";"2018";"Valor da produção (Mil Reais)";"4"
"Arneiroz (CE)";"Coco-da-baía*";"2019";"Valor da produção (Mil Reais)";"6"
"Arneiroz (CE)";"Coco-da-baía*";"2020";"Valor da produção (Mil Reais)";"9"
"Arneiroz (CE)";"Dendê (cacho de coco)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Dendê (cacho de coco)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Dendê (cacho de coco)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Dendê (cacho de coco)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Dendê (cacho de coco)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Erva-mate (folha verde)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Erva-mate (folha verde)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Erva-mate (folha verde)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Erva-mate (folha verde)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Erva-mate (folha verde)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Ervilha (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Ervilha (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Ervilha (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Ervilha (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Ervilha (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fava (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fava (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fava (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fava (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fava (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Feijão (em grão)";"2016";"Valor da produção (Mil Reais)";"1150"
"Arneiroz (CE)";"Feijão (em grão)";"2017";"Valor da produção (Mil Reais)";"510"
"Arneiroz (CE)";"Feijão (em grão)";"2018";"Valor da produção (Mil Reais)";"771"
"Arneiroz (CE)";"Feijão (em grão)";"2019";"Valor da produção (Mil Reais)";"943"
"Arneiroz (CE)";"Feijão (em grão)";"2020";"Valor da produção (Mil Reais)";"1241"
"Arneiroz (CE)";"Figo";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Figo";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Figo";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Figo";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Figo";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fumo (em folha)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fumo (em folha)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fumo (em folha)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fumo (em folha)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Fumo (em folha)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Girassol (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Girassol (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Girassol (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Girassol (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Girassol (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Goiaba";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Goiaba";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Goiaba";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Goiaba";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Goiaba";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Guaraná (semente)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Guaraná (semente)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Guaraná (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Guaraná (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Guaraná (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Juta (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Juta (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Juta (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Juta (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Juta (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Laranja";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Laranja";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Laranja";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Laranja";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Laranja";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Limão";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Limão";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Limão";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Limão";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Limão";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Linho (semente)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Linho (semente)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Linho (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Linho (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Linho (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maçã";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maçã";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maçã";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maçã";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maçã";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Malva (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Malva (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Malva (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Malva (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Malva (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamão";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamão";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamão";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamão";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamão";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamona (baga)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamona (baga)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamona (baga)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamona (baga)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mamona (baga)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Mandioca";"2016";"Valor da produção (Mil Reais)";"10"
"Arneiroz (CE)";"Mandioca";"2017";"Valor da produção (Mil Reais)";"8"
"Arneiroz (CE)";"Mandioca";"2018";"Valor da produção (Mil Reais)";"19"
"Arneiroz (CE)";"Mandioca";"2019";"Valor da produção (Mil Reais)";"31"
"Arneiroz (CE)";"Mandioca";"2020";"Valor da produção (Mil Reais)";"16"
"Arneiroz (CE)";"Manga";"2016";"Valor da produção (Mil Reais)";"3"
"Arneiroz (CE)";"Manga";"2017";"Valor da produção (Mil Reais)";"3"
"Arneiroz (CE)";"Manga";"2018";"Valor da produção (Mil Reais)";"5"
"Arneiroz (CE)";"Manga";"2019";"Valor da produção (Mil Reais)";"5"
"Arneiroz (CE)";"Manga";"2020";"Valor da produção (Mil Reais)";"9"
"Arneiroz (CE)";"Maracujá";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maracujá";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maracujá";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maracujá";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Maracujá";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Marmelo";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Marmelo";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Marmelo";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Marmelo";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Marmelo";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melancia";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melancia";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melancia";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melancia";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melancia";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melão";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melão";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melão";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melão";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Melão";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Milho (em grão)";"2016";"Valor da produção (Mil Reais)";"306"
"Arneiroz (CE)";"Milho (em grão)";"2017";"Valor da produção (Mil Reais)";"201"
"Arneiroz (CE)";"Milho (em grão)";"2018";"Valor da produção (Mil Reais)";"601"
"Arneiroz (CE)";"Milho (em grão)";"2019";"Valor da produção (Mil Reais)";"505"
"Arneiroz (CE)";"Milho (em grão)";"2020";"Valor da produção (Mil Reais)";"1555"
"Arneiroz (CE)";"Noz (fruto seco)";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Noz (fruto seco)";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Noz (fruto seco)";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Noz (fruto seco)";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Noz (fruto seco)";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Palmito";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Palmito";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Palmito";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Palmito";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Palmito";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pera";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pera";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pera";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pera";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pera";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pêssego";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pêssego";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pêssego";"2018";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pêssego";"2019";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pêssego";"2020";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pimenta-do-reino";"2016";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pimenta-do-reino";"2017";"Valor da produção (Mil Reais)";"-"
"Arneiroz (CE)";"Pimenta-do-reino";"2018";"Valor da produção (Mil Reais)";"-"
