Unidade da Federação;Ano;Variável;
Ceará;2016;População residente estimada (Pessoas);8963663
Ceará;2017;População residente estimada (Pessoas);9020460
Ceará;2018;População residente estimada (Pessoas);9075649
Ceará;2019;População residente estimada (Pessoas);9132078
Ceará;2020;População residente estimada (Pessoas);9187103
