Source,Target,Weight,Season
Luwin,Theon,19,2
Margaery,Littlefinger,11,2
Margaery,Loras,2,2
Margaery,Renly,8,2
Matthos,Davos,17,2
Matthos,Saan,4,2
Matthos,Stannis,1,2
Melisandre,Cressen,1,2
Melisandre,Crowd,1,2
Melisandre,Davos,10,2
Melisandre,Renly,2,2
Melisandre,Stannis,17,2
Meryn,Tyrion,3,2
Mhaegan,Janos,1,2
Mountian,Tywin,1,2
Myrcella,Cersei,1,2
Myrcella,Joffrey,1,2
Osha,Bran,16,2
Osha,Hodor,1,2
Osha,Luwin,5,2
Osha,Rikon,1,2
Osha,Theon,9,2
Podrick,Janos,1,2
Podrick,Tyrion,5,2
Polliver,Armory,1,2
Polliver,Arya,1,2
Polliver,Lommy,1,2
Polliver,The mountain,1,2
Portan,Luwin,1,2
Prisoner,The tickler,11,2
Prostitute,Bronn,2,2
Protester,Crowd,1,2
Pyat pree,Daenerys,2,2
Pyat pree,Spice king,1,2
Pyat pree,Xaro,1,2
Pyatt pree,Daenerys,1,2
Pycelle,Cersei,5,2
Pycelle,Ersei,1,2
Pycelle,Joffrey,1,2
Pycelle,Podrick,1,2
Pycelle,Tyrion,16,2
Pycelle,Varys,1,2
Qhorin,Jeor,5,2
Qhorin,Jon,20,2
Qhorin,Ygritte,5,2
Quaith,Jorah,4,2
Quaithe,Jorah,2,2
Quorin,Jon,3,2
Rakharo,Daenerys,3,2
Rattleshirt,Jon,1,2
Rattleshirt,Qhorin,1,2
Rattleshirt,Wildling,1,2
Reginald,Tywin,2,2
Renly,Brienne,2,2
Renly,Catelyn,8,2
Renly,Gerard,2,2
Renly,Littlefinger,4,2
Renly,Loras,3,2
Renly,Margaery,4,2
Renly,Melisandre,2,2
Renly,Stannis,5,2
Rickard,Catelyn,1,2
Rickard karstark,Brienne,1,2
Rickard karstark,Catelyn,6,2
Rickard karstark,Robb,4,2
Rickon,Bran,3,2
Rickon,Luwin,1,2
Rickon,Osha,1,2
Rikon,Bran,1,2
Robb,Alton,7,2
Robb,Catelyn,25,2
Robb,Catelyn ,1,2
Robb,Jaime,7,2
Robb,Quent,1,2
Robb,Rickard karstark,2,2
Robb,Rider,1,2
Robb,Roose,5,2
Robb,Roose bolton,8,2
Robb,Septon,1,2
Robb,Talisa,44,2
Robb,The others at the table,1,2
Robb,Theon,5,2
Rodrik,Bran,4,2
Rodrik,Luwin,1,2
Rodrik,Theon,6,2
Roose,Rickard karstark,1,2
Roose,Robb,6,2
Roose bolton,Robb,9,2
Roose bolton,Talisa,1,2
Rorge,Arya,2,2
Rorge,Gendry,1,2
Rorge,Jaqen,2,2
Ros,Daisy,3,2
Ros,Joffrey,1,2
Ros,Tyrion,1,2
Ros,Varys,10,2
Roz,Baelish,3,2
Roz,Daisy,3,2
Roz,Janos,1,2
Saan,Davos,10,2
Saan,Matthos,3,2
Sam,Dolorous edd,6,2
Sam,Edd,2,2
Sam,Eddision,1,2
Sam,Gilly,4,2
Sam,Grenn,9,2
Sam,Jeor,1,2
Sam,Jon,10,2
Sam,Qhorin,2,2
Sansa,Cersei,21,2
Sansa,Cersel,1,2
Sansa,Joffrey,13,2
Sansa,Littlefinger,3,2
Sansa,Shae,19,2
Sansa,The hound,8,2
Sansa,Tyrion,4,2
Ser dontos,Announcer,1,2
Ser dontos,Joffrey,3,2
Shae,Cersei,5,2
Shae,Sansa,22,2
Shae,Tyrion,33,2
Shae,Varys,3,2
Silk king,Daenerys,1,2
