Source,Target,Weight,Season
Littlefinger,Brienne,1,6
Littlefinger,Robin,2,6
Littlefinger,Sansa,12,6
Littlefinger,Yohn royce,5,6
Loras,High sparrow,4,6
Loras,Margaery,4,6
Lord karstark,Maester wolkan,2,6
Lord karstark,Ramsay,4,6
Lord karstark,Smalljon,1,6
Lothar,Black walder,1,6
Lothar,Jaime,2,6
Lothar,Walder,2,6
Lyanna,Davos,3,6
Lyanna,Jon snow,5,6
Lyanna,Ned,5,6
Lyanna,Sansa,2,6
Mace tyrell,Kevan,1,6
Maester,Sam,2,6
Maester pycell,Cersei,2,6
Maester pycelle,Cersei,2,6
Maester wolkan,Lord karstark,1,6
Maester wolkan,Ramsay,2,6
Margaery,High sparrow,19,6
Margaery,Loras,3,6
Margaery,Olenna,9,6
Margaery,Septa unella,3,6
Meera,Benjen,1,6
Meera,Bran,2,6
Meera,Child of the forest,1,6
Meera,Hodor,5,6
Meera,Rider,1,6
Meera,Three-eyed raven,1,6
Melessa,Randyll,3,6
Melessa,Sam,2,6
Melessa,Talla,1,6
Melisandre,Davos,21,6
Melisandre,Jon snow,9,6
Missandei,Grey worm,3,6
Missandei,Razdal,1,6
Missandei,Tyrion,18,6
Missandei,Varys,1,6
Nan,Young ned,1,6
Ned,Arthur,3,6
Ned,Lyanna,5,6
Nymeria,Olenna,1,6
Nymeria,Trystane,1,6
Obara,Nymeria,1,6
Obara,Olenna,2,6
Obara,Trystane,1,6
Olenna,Cersei,6,6
Olenna,Ellaria,2,6
Olenna,Margaery,8,6
Olenna,Nymeria,1,6
Olenna,Obara,2,6
Osha,Ramsay,8,6
Othell yarwick,Jon snow,1,6
Petyr,Sansa,4,6
Podrick,Bronn,7,6
Podrick,Sansa,1,6
Pycelle,Mistress,1,6
Pycelle,Qyburn,1,6
Qyburn,Arthur,2,6
Qyburn,Cersei,5,6
Qyburn,Jaime,1,6
Qyburn,Little bird,1,6
Qyburn,Pycelle,1,6
Ramsay,Lord karstark,1,6
Ramsay,Maester wolkan,2,6
Ramsay,Osha,7,6
Ramsay,Roose,8,6
Ramsay,Sansa,2,6
Ramsay,Smalljon,11,6
Ramsey,Lady walda,1,6
Randyll,Gilly,3,6
Randyll,Melessa,1,6
Randyll,Sam,2,6
Randyll,Talla,1,6
Ray,Lem,4,6
Ray,Sandor,12,6
Razdal,Daenerys,1,6
Razdal,Missandei,1,6
Razdal,Tyrion,2,6
Red priest,Varys,1,6
Rider,Meera,1,6
Robett,Jon snow,5,6
Robin,Littlefinger,1,6
Robin,Yohn royce,1,6
Roose,Lord karstark,2,6
Roose,Ramsay,4,6
Sam,Dickon,4,6
Sam,Gilly,15,6
Sam,Maester,3,6
Sam,Melessa,3,6
Sam,Randyll,2,6
Samwell,Gilly,9,6
Sandor,Beric,7,6
Sandor,Gatins,2,6
Sandor,Ray,9,6
Sandor,Thoros,6,6
Sansa,Brienne,6,6
Sansa,Davos,7,6
Sansa,Jon snow,40,6
Sansa,Littlefinger,13,6
Sansa,Lyanna,1,6
Sansa,Petyr,4,6
Sansa,Podrick,1,6
Sansa,Ramsay,5,6
Sansa,Robett,1,6
Sansa,Theon,7,6
Sansa,Tormund,1,6
Septa unella,Cersei,1,6
Septa unella,Margaery,3,6
Smalljon,All,2,6
Smalljon,Lord karstark,2,6
Smalljon,Ramsay,11,6
Talla,Sam,2,6
Theon,All,4,6
Theon,Bolton officer,2,6
Theon,Daenerys,4,6
Theon,Euron,2,6
Theon,Sansa,8,6
Theon,Tyrion,3,6
Theon,Yara,18,6
Thoros,Beric,1,6
Thoros,Sandor,5,6
Three-eyed raven,Bran,22,6
Tormund,Alliser thorne,1,6
Tormund,Davos,7,6
Tormund,Dim dalba,1,6
Tormund,Jon snow,3,6
Tormund,Sansa,2,6
Tormund,Vale knight,1,6
Trystane,Nymeria,1,6
Tyrion,Belicho,1,6
Tyrion,Daenerys,11,6
Tyrion,Grey worm,19,6
Tyrion,Kinvara,5,6
Tyrion,Missandei,21,6
Tyrion,Razdal,1,6
Tyrion,Red priest,2,6
Tyrion,Theon,3,6
Tyrion,Varys,21,6
Tyrion,Yara,1,6
Tyrion,Yezzan,5,6
Vala,Varys,3,6
Vale knight,Tormund,1,6
Varys,Grey worm,3,6
Varys,Kinvara,1,6
Varys,Missandei,1,6
Varys,Tyrion,23,6
Varys,Vala,3,6
Waif,Arya,3,6
Waif,Jaqen,1,6
Walder,Black walder,3,6
Walder,Handmaiden,2,6
Walder,Jaime,4,6
Walder,Lothar,2,6
Yara,Aeron,1,6
Yara,All,4,6
Yara,Balon,6,6
Yara,Daenerys,5,6
Yara,Euron,3,6
Yara,Theon,17,6
Yezzan,Grey worm,1,6
Yezzan,Tyrion,4,6
Yohn royce,Littlefinger,3,6
Young benjen,Young lyanna,1,6
Young benjen,Young ned,1,6
Young lyanna,Young benjen,1,6
Young lyanna,Young ned,1,6
Young ned,Young benjen,1,6
Young ned,Young lyanna,1,6
