Source,Target,Weight,Season
Aeron,Yara,2,6
All,Aeron,2,6
All,Clarenzo,1,6
All,Qyburn,1,6
All,Smalljon,2,6
All,Theon,4,6
All,Yara,3,6
Alliser thorne,Davos,3,6
Alliser thorne,Dolorous edd,1,6
Alliser throne,Jon snow,1,6
Alliser throne,Othell yarwick,1,6
Arthur,Little bird,1,6
Arthur,Ned,3,6
Arthur,Qyburn,2,6
Arya,Jaqen,15,6
Arya,Lady crane,16,6
Arya,Waif,6,6
Balon,Euron,3,6
Balon,Yara,5,6
Belicho,Razdal,1,6
Belicho,Tyrion,1,6
Benjen,Bran,4,6
Benjen,Meera,2,6
Beric,Sandor,5,6
Bianca,Camello,1,6
Bianca,Izembaro,1,6
Bianca,Lady crane,1,6
Black walder,Bronn,1,6
Black walder,Jaime,1,6
Black walder,Lothar,1,6
Black walder,Walder,4,6
Bobono,Bianca,1,6
Bobono,Camello,1,6
Bobono,Lady crane,2,6
Bolton officer,Theon,1,6
Bowen marsh,Jon snow,1,6
Bran,Benjen,3,6
Bran,Hodor,4,6
Bran,Leaf,1,6
Bran,Meera,2,6
Bran,Nan,1,6
Bran,Three-eyed raven,16,6
Bran,Young benjen,1,6
Bran,Young hodor,1,6
Brienne,Brynden,6,6
Brienne,Davos,3,6
Brienne,Jaime,15,6
Brienne,Podrick,2,6
Brienne,Sansa,9,6
Bronn,Jaime,11,6
Bronn,Podrick,6,6
Brynden,Black walder,1,6
Brynden,Brienne,8,6
Brynden,Jaime,6,6
Camello,Bobono,1,6
Camello,Clarenzo,1,6
Camello,Lady crane,7,6
Cersei,Jaime,14,6
Cersei,Kevan,3,6
Cersei,Lady olenna,3,6
Cersei,Lancel,4,6
Cersei,Maester pycell,1,6
Cersei,Maester pycelle,1,6
Cersei,Olenna,5,6
Cersei,Qyburn,5,6
Cersei,Septa unella,2,6
Child of the forest,Meera,1,6
Clarenzo,All,1,6
Clarenzo,Lady crane,1,6
Daario,Daenerys,14,6
Daario,Jorah,14,6
Daenerys,Daario,16,6
Daenerys,Dothraki matron,2,6
Daenerys,Jorah,2,6
Daenerys,Khal moro,8,6
Daenerys,Leader,3,6
Daenerys,Razdal,1,6
Daenerys,Theon,5,6
Daenerys,Tyrion,11,6
Daenerys,Yara,4,6
Daenerys,Yezzan,1,6
Davos,Alliser thorne,4,6
Davos,Brienne,2,6
Davos,Dolorous edd,5,6
Davos,Jon snow,9,6
Davos,Lyanna,4,6
Davos,Melisandre,20,6
Davos,Sansa,8,6
Davos,Tormund,7,6
Dickon,Sam,4,6
Dim dalba,Tormund,1,6
Dolorous edd,Davos,4,6
Dolorous edd,Jon snow,4,6
Doran,Ellaria,1,6
Dothraki matron,Daenerys,3,6
Edmure,Jaime,8,6
Ellaria,Doran,2,6
Ellaria,Olenna,4,6
Euron,Aeron,1,6
Euron,Balon,5,6
Euron,Theon,2,6
Euron,Yara,3,6
Gatins,Sandor,2,6
Gilly,Dickon,1,6
Gilly,Melessa,3,6
Gilly,Randyll,1,6
Gilly,Sam,11,6
Gilly,Samwell,9,6
Glover,Jon snow,1,6
Grey worm,Missandei,1,6
Grey worm,Razdal,1,6
Grey worm,Tyrion,19,6
Grey worm,Varys,4,6
Grey worm & missandei,Tyrion,1,6
Handmaiden,Walder,3,6
High sparrow,Jaime,9,6
High sparrow,Lancel,1,6
High sparrow,Loras,4,6
High sparrow,Margaery,18,6
Hodor,Bran,4,6
Hodor,Meera,6,6
Hooded figure,Balon,1,6
Izembaro,Bianca,1,6
Izembaro,Lady crane,4,6
Izembaro,Ladyc rane,1,6
Jaime,Black walder,1,6
Jaime,Brienne,17,6
Jaime,Bronn,10,6
Jaime,Brynden,6,6
Jaime,Cersei,11,6
Jaime,Edmure,11,6
Jaime,High sparrow,8,6
Jaime,Kevan,2,6
Jaime,Lady olenna,2,6
Jaime,Lothar,2,6
Jaime,Mace,1,6
Jaime,Qyburn,1,6
Jaime,Qyburns,1,6
Jaime,Walder,5,6
Jaqen,Arya,12,6
Jaqen,Waif,2,6
Jon snow,Alliser throne,1,6
Jon snow,Bowen marsh,1,6
Jon snow,Davos,8,6
Jon snow,Dim dalba,1,6
Jon snow,Dolorous edd,8,6
Jon snow,Glover,1,6
Jon snow,Lyanna,6,6
Jon snow,Melisandre,8,6
Jon snow,Ramsay,2,6
Jon snow,Robett,5,6
Jon snow,Sansa,34,6
Jon snow,Tormund,2,6
Jorah,Daario,19,6
Jorah,Daenerys,4,6
Karstark,Ramsay,1,6
Kevan,Cersei,7,6
Kevan,Jaime,1,6
Khal moro,Daenerys,6,6
Kinvara,Tyrion,5,6
Kinvara,Varys,1,6
Lady crane,Arya,16,6
Lady crane,Bianca,2,6
Lady crane,Bobono,3,6
Lady crane,Camello,7,6
Lady crane,Izembaro,2,6
Lady olenna,Cersei,3,6
Lady olenna,Kevan,1,6
Lady olenna,Mace tyrell,1,6
Lady walda,Ramsay,2,6
Lady walda,Ramsey,1,6
Lancel,Cersei,3,6
Lancel,Margaery,1,6
Leader,Daenerys,2,6
Leaf,Bran,2,6
Leaf,Meera,2,6
Lem,Ray,5,6
Little bird,Qyburn,2,6
