Source,Target,Weight,Season
Aemon,Jon,4,5
Aemon,Sam,3,5
Alliser,Jon,3,5
Announcer,Daenerys,1,5
Announcer,Tyrion,2,5
Areo,Bronn,1,5
Areo,Doran,2,5
Areo,Obara,1,5
Arya,Girl,1,5
Arya,Jaqen,18,5
Arya,Man,1,5
Arya,Prostitute,1,5
Arya,Waif,14,5
Baelish,Brienne,8,5
Baelish,Cersei,19,5
Baelish,Lancel,4,5
Baelish,Olenna,7,5
Baelish,Ramsay,3,5
Baelish,Roose,7,5
Baelish,Royce,3,5
Baelish,Sansa,33,5
Baelish,Squire,1,5
Baelish,Yohn royce,1,5
Banker,Mace,5,5
Barristan,Daario,1,5
Barristan,Daenerys,17,5
Barristan,Hizdahr,1,5
Black haired prostitute,Tyrion,7,5
Blonde prostitute,Varys,1,5
Brand,Derryk,3,5
Brand,Sam,2,5
Brienne,Baelish,7,5
Brienne,Podrick,33,5
Brienne,Sansa,2,5
Bronn,Doran,1,5
Bronn,Jaime,36,5
Bronn,Lollys,5,5
Bronn,Myrcella,1,5
Bronn,Obara,2,5
Bronn,Rider,4,5
Bronn,Tyene,11,5
Brother,Jon,1,5
Brothers,Sam,1,5
Buyer,Tyrion,2,5
Captain,Jaime,1,5
Cersei,Baelish,18,5
Cersei,High septon,2,5
Cersei,High sparrow,14,5
Cersei,Hunters,1,5
Cersei,Jaime,14,5
Cersei,Kevan,6,5
Cersei,Kevan lannister,1,5
Cersei,Lancel,4,5
Cersei,Mace,7,5
Cersei,Mace tyrell,1,5
Cersei,Maggy,7,5
Cersei,Margaery,13,5
Cersei,Melara,5,5
Cersei,Meryn,2,5
Cersei,Olenna,9,5
Cersei,Olyvar,1,5
Cersei,Priest,2,5
Cersei,Pycelle,4,5
Cersei,Qyburn,13,5
Cersei,Septa,5,5
Cersei,Sparrow,23,5
Crowd,Priestess,1,5
Cut to another table in the inn,Waitress,1,5
Daario,Barristan,2,5
Daario,Daenerys,14,5
Daario,Grey worm,6,5
Daario,Hizdahr,2,5
Daario,Jorah,1,5
Daario,Missandei,1,5
Daario,Tyrion,6,5
Daenerys,Announcer,1,5
Daenerys,Barristan,14,5
Daenerys,Daario,13,5
Daenerys,Dario,3,5
Daenerys,Grey worm,2,5
Daenerys,Hizdahr,18,5
Daenerys,Hizdahr zo loraq,1,5
Daenerys,Jorah,1,5
Daenerys,Missandei,2,5
Daenerys,Mosador,1,5
Daenerys,Mossador,5,5
Daenerys,Tyrion,34,5
Danerys,Tyrion,1,5
Dario,Barristan,1,5
Dario,Daenerys,2,5
Daughter,Karsi,1,5
Davos,Jon,9,5
Davos,Olly,2,5
Davos,Selyse,1,5
Davos,Shireen,9,5
Davos,Stannis,20,5
Derryk,Brand,6,5
Derryk,Gilly,1,5
Derryk,Sam,1,5
Doran,Areo,1,5
Doran,Ellaria,7,5
Doran,Jaime,8,5
Edd,Jon,2,5
Elaria,Obara,3,5
Elaria,Tyene,1,5
Ellaria,Areo,1,5
Ellaria,Doran,7,5
Ellaria,Jaime,4,5
Ellaria,Trystane,1,5
Giant,Wildling elder,1,5
Gilly,Aemon,1,5
Gilly,Derryk,2,5
Gilly,Olly,1,5
Gilly,Sam,22,5
Gilly,Shireen,4,5
Grey worm,Barristan,1,5
Grey worm,Daario,3,5
Grey worm,Daenerys,1,5
Grey worm,Jorah,1,5
Grey worm,Missandei,6,5
Grey worm,Tyrion,1,5
Head,Meryn,3,5
Head prostitute,Meryn,1,5
High septon,Cersei,2,5
High septon,Lancel,1,5
High septon,Mace,1,5
High septon,Olyvar,4,5
High septon,Qyburn,1,5
High sparrow,Cersei,16,5
High sparrow,Olenna,1,5
Hizdahr,Daario,2,5
Hizdahr,Daenerys,20,5
Hizdahr,Missandei,1,5
Hizdahr,Mossador,3,5
Hizdahr,Tyrion,3,5
Hunters,Cersei,1,5
Jaime,Bronn,42,5
Jaime,Cersei,15,5
Jaime,Doran,6,5
Jaime,Ellaria,4,5
Jaime,Myrcella,16,5
Jaime,Rider,1,5
Jaime,Trystane,1,5
Janos,Jon,4,5
Jaqen,Arya,21,5
Jaqen,Waif,4,5
Jon,Aemon,3,5
Jon,Alliser,2,5
Jon,Allister,1,5
Jon,Brother,1,5
Jon,Davos,12,5
Jon,Edd,1,5
Jon,Janos,2,5
Jon,Karsi,5,5
Jon,Loboda,3,5
Jon,Lord of bones,2,5
Jon,Melisandre,7,5
Jon,Night’s watch brother,1,5
Jon,Olly,4,5
Jon,Sam,18,5
Jon,Selyse,1,5
Jon,Stannis,27,5
Jon,Tormund,16,5
Jorah,Daario,2,5
Jorah,Grey worm,1,5
Jorah,Malko,2,5
Jorah,Master,2,5
Jorah,Tyrion,39,5
Karsi,Daughter,1,5
Karsi,Jon,7,5
Karsi,Loboda,2,5
Karsi,Tormund,1,5
Kevan,Cersei,6,5
Kevan,Pycelle,1,5
Kevan lannister,Lancel,1,5
Lancel,Baelish,2,5
Lancel,Cersei,6,5
Lancel,High septon,1,5
Lancel,Loras,2,5
Loboda,Giant,1,5
Loboda,Jon,4,5
Loboda,Karsi,2,5
Loboda,Tormund,1,5
Lollys,Bronn,5,5
Loras,High sparrow,1,5
Loras,Lancel,1,5
Loras,Margaery,6,5
Loras,Olyvar,5,5
Loras,Sparrow,6,5
Lord of bones,Jon,2,5
Lord of bones,Tormund,4,5
Mace,Banker,7,5
Mace,Cersei,8,5
Mace,Qyburn,1,5
Mace tyrell,Cersei,1,5
Maggy,Cersei,7,5
Malko,Jorah,2,5
Malko,Slave buyer,1,5
Malko,Slaver,2,5
Malko,Tyrion,3,5
Man,Arya,1,5
Margaery,Cersei,11,5
Margaery,Loras,6,5
Margaery,Olenna,3,5
Margaery,Olyvar,1,5
Margaery,Sparrow,6,5
Master,Jorah,2,5
Melara,Cersei,3,5
Melara,Maggy,1,5
Melisandre,Davos,1,5
Melisandre,Jon,8,5
Melisandre,Selyse,4,5
Melisandre,Shireen,1,5
Melisandre,Stannis,11,5
Meryn,Cersei,1,5
Militant,Client,1,5
Missandei,Daario,2,5
Missandei,Daenerys,2,5
Missandei,Grey worm,6,5
Missandei,Hizdahr,1,5
Mosador,Daenerys,1,5
Mossador,Barristan,2,5
