id,Label
AHSA,Ahsa
ALL,All
ALL THREE,All three
ALTON,Alton
AMORY,Amory
ANNOUNCER,Announcer
ARMORY,Armory
ARYA,Arya
AYRA,Ayra
BAELISH,Baelish
BALON,Balon
BLACK LORREN,Black lorren
BLACKSMITH,Blacksmith
BRAN,Bran
BRIENNE,Brienne
BRINENNE,Brinenne
BRONN,Bronn
CATELYIN,Catelyin
CATELYN,Catelyn
CATELYN ,Catelyn 
CERSEI,Cersei
CESEI,Cesei
CRASTER,Craster
CRESSEN,Cressen
CROWD,Crowd
DAENERYS,Daenerys
DAGMER,Dagmer
DAISY,Daisy
DAVOS,Davos
DOLOROUS EDD,Dolorous edd
DOREAH,Doreah
DROGO,Drogo
DROWNED PRIEST,Drowned priest
EDD,Edd
EDDISION,Eddision
ERSEI,Ersei
FARLEN,Farlen
GENDRY,Gendry
GERARD,Gerard
GILLY,Gilly
GOLD CLOAK,Gold cloak
GRENN,Grenn
HANDMAIDEN,Handmaiden
HAYLENE,Haylene
HODOR,Hodor
HOT PIE,Hot pie
HOUND,Hound
IRRI,Irri
JACKS,Jacks
JAIME,Jaime
JANOS,Janos
JAQEN,Jaqen
JEOR,Jeor
JOFFREY,Joffrey
JON,Jon
JORAH,Jorah
KEVAN,Kevan
KOVARRO,Kovarro
LANCEL,Lancel
LITTLEFINGER,Littlefinger
LOMMY,Lommy
LORAS,Loras
LORD,Lord
LORD MORMONT,Lord mormont
LORD OF BONES,Lord of bones
LUWIN,Luwin
MARGAERY,Margaery
MATTHOS,Matthos
MELISANDRE,Melisandre
MERYN,Meryn
MHAEGAN,Mhaegan
MOUNTIAN,Mountian
MYRCELLA,Myrcella
OSHA,Osha
PODRICK,Podrick
POLLIVER,Polliver
PORTAN,Portan
PRISONER,Prisoner
PROSTITUTE,Prostitute
PROTESTER,Protester
PYAT PREE,Pyat pree
PYATT PREE,Pyatt pree
PYCELLE,Pycelle
QHORIN,Qhorin
QUAITH,Quaith
QUAITHE,Quaithe
QUORIN,Quorin
RAKHARO,Rakharo
RATTLESHIRT,Rattleshirt
REGINALD,Reginald
RENLY,Renly
RICKARD,Rickard
RICKARD KARSTARK,Rickard karstark
RICKON,Rickon
RIKON,Rikon
ROBB,Robb
RODRIK,Rodrik
ROOSE,Roose
ROOSE BOLTON,Roose bolton
RORGE,Rorge
ROS,Ros
ROZ,Roz
SAAN,Saan
SAM,Sam
SANSA,Sansa
SER DONTOS,Ser dontos
SHAE,Shae
SILK KING,Silk king
SPICE KING,Spice king
STANNIS,Stannis
TALISA,Talisa
THE GROUP,The group
THE HOUND,The hound
THE MOUNTAIN,The mountain
THE OTHERS AT THE TABLE,The others at the table
THE TICKLER,The tickler
THEON,Theon
TIMETT,Timett
TRION,Trion
TWYIN,Twyin
TYRION,Tyrion
TYWIN,Tywin
VARYS,Varys
WILDLING,Wildling
XARO,Xaro
YARA,Yara
YGRITTE,Ygritte
YOREN,Yoren
COLEN,Colen
JOFFFREY,Jofffrey
QUENT,Quent
RIDER,Rider
SEPTON,Septon
CERSEL,Cersel
SER RODRIK,Ser rodrik
CHILD,Child
IRONBORN,Ironborn
