Source,Target,Weight,Season
All,Jeor,1,3
Anguy,Arya,7,3
Anguy,Beric,2,3
Anguy,Gendry,1,3
Anguy,Melisandre,1,3
Anguy,The hound,4,3
Anguy,Thoros,3,3
Arya,Anguy,4,3
Arya,Beric,12,3
Arya,Gendry,15,3
Arya,Hot pie,3,3
Arya,Hound,2,3
Arya,The hound,13,3
Arya,Thoros,19,3
Baby,Sam,1,3
Balon,Yara,2,3
Barristan,Daario,1,3
Barristan,Daenerys,10,3
Barristan,Jorah,18,3
Beric,Anguy,3,3
Beric,Arya,14,3
Beric,Melisandre,2,3
Beric,The hound,8,3
Beric,Thoros,6,3
Black walder,Edmure,1,3
Black walder,Lothar,1,3
Black walder,Robb,4,3
Blackfish,Catelyn,1,3
Blackfish,Roose,2,3
Boy,Girl,1,3
Boy,Jon snow,1,3
Bran,Catelyn,1,3
Bran,Hodor,3,3
Bran,Jojen,19,3
Bran,Meera,8,3
Bran,Osha,20,3
Bran,Rickon,3,3
Bran,Sam,6,3
Brienne,Jaime,40,3
Brienne,Roose bolton,2,3
Bronn,Meryn trant,3,3
Bronn,Podrick,5,3
Bronn,Tyrion,29,3
Bronn,Whore,1,3
Brynden,Black walder,1,3
Brynden,Catelyn,5,3
Brynden,Edmure,3,3
Brynden,Robb,3,3
Brynden,Talisa,1,3
Catelyn,Blackfish,1,3
Catelyn,Bran,2,3
Catelyn,Brynden,6,3
Catelyn,Edmure,2,3
Catelyn,Robb,8,3
Catelyn,Roose,1,3
Catelyn,Talisa,8,3
Cersei,Joffrey,13,3
Cersei,Littlefinger,5,3
Cersei,Loras,1,3
Cersei,Margaery,9,3
Cersei,Olenna,8,3
Cersei,Tyrion,38,3
Cersei,Tywin,15,3
Cersei,Varys,1,3
Child,Margaery,2,3
Craster,Jeor,6,3
Craster,Karl tanner,3,3
Daario,Barristan,2,3
Daario,Daenerys,12,3
Daario,Jorah,3,3
Daario,Mero,5,3
Daario,Prendahl,1,3
Daenerys,Barristan,9,3
Daenerys,Crowd,3,3
Daenerys,Daario,9,3
Daenerys,Grey worm,3,3
Daenerys,Jorah,22,3
Daenerys,Kraznys,6,3
Daenerys,Mero,4,3
Daenerys,Missandei,21,3
Daenerys,Prendahl,2,3
Daenerys,Radzal mo eraz,5,3
Davos,Gendry,21,3
Davos,Melisandre,8,3
Davos,Salladhor,13,3
Davos,Shireen,16,3
Davos,Stannis,23,3
Dolorous edd,Grenn,4,3
Dolorous edd,Jeor,1,3
Dolorous edd,Rast,2,3
Dolorous edd,Sam,2,3
Eddison,Rast,1,3
Edmure,Black walder,1,3
Edmure,Brynden,4,3
Edmure,Catelyn,2,3
Edmure,Lothar,2,3
