Source,Target,Weight,Season
Addam marbrand,Leo lefford,2,1
All,Greatjon umber,1,1
All,Grenn,1,1
Alliser thorne,Grenn,2,1
Alliser thorne,Jon snow,2,1
Alliser thorne,Pyp,1,1
Alliser thorne,Rast,1,1
Alliser thorne,Samwell tarly,3,1
Arya,Robert,2,1
Arya stark,Cersei baratheon,2,1
Arya stark,Eddard stark,25,1
Arya stark,Gendry,2,1
Arya stark,Guard 1,3,1
Arya stark,Hot pie,1,1
Arya stark,Joffrey baratheon,2,1
Arya stark,Jon snow,8,1
Arya stark,Jory cassel,1,1
Arya stark,King’s landing baker,2,1
Arya stark,Petyr baelish,1,1
Arya stark,Sansa stark,12,1
Arya stark,Septa mordane,2,1
Arya stark,Soldier 2,1,1
Arya stark,Stable boy,3,1
Arya stark,Street urchin,1,1
Arya stark,Syrio forel,11,1
Arya stark,Yoren,4,1
Assassin,Robb stark,1,1
Barristan selmy,Cersei lannister,1,1
Barristan selmy,Eddard stark,7,1
Barristan selmy,Jaime lannister,2,1
Barristan selmy,Lord varys,1,1
Barristan selmy,Ned stark,1,1
Barristan selmy,Petyr baelish,1,1
Barristan selmy,Robert baratheon,4,1
Barriston,Robert baratheon,1,1
Benjen,Jon,5,1
Benjen,Ned,3,1
Benjen,Robb,1,1
Benjen stark,Jon snow,4,1
Benjen stark,Tyrion lannister,4,1
Benjen stark,Yoren,1,1
Beric dondarrion,Eddard stark,1,1
Bran,Catelyn,3,1
Bran,Jaime,1,1
Bran,Jon,1,1
Bran,Ned,4,1
Bran,Theon,2,1
Bran stark,Maester luwin,21,1
Bran stark,Old nan,2,1
Bran stark,Osha,3,1
Bran stark,Rickon stark,4,1
Bran stark,Robb stark,5,1
Bran stark,Theon greyjoy,2,1
Bran stark,Tyrion lannister,4,1
Bran stark,Wildling,3,1
Brann stark,Osha,1,1
Brann stark,Rickon stark,1,1
Brann stark,Robb stark,3,1
Bronn,Lannister soldier ,1,1
Bronn,Lysa arryn,2,1
Bronn,Rodrik cassel,1,1
Bronn,Shae,4,1
Bronn,Tyrion lannister,24,1
Cassel,Bran,1,1
Cassel,Ned,1,1
Catelyn,Bran,3,1
Catelyn,Luwin,3,1
Catelyn,Maester luwin,1,1
Catelyn,Ned,12,1
Catelyn,Robert,1,1
Catelyn,Sansa,4,1
Catelyn stark,Assassin,1,1
Catelyn stark,Cersei baratheon,3,1
Catelyn stark,Eddard stark,6,1
Catelyn stark,Everyone,1,1
Catelyn stark,Greatjon umber,1,1
Catelyn stark,Guard,2,1
Catelyn stark,Jaime lannister,8,1
Catelyn stark,Jon snow,2,1
Catelyn stark,Knight of house whent,2,1
Catelyn stark,Lysa arryn,3,1
Catelyn stark,Maester luwin,4,1
Catelyn stark,Marillion,1,1
Catelyn stark,Masha heddle,1,1
Catelyn stark,Petyr baelish,8,1
Catelyn stark,Robb stark,27,1
Catelyn stark,Rodrick cassel,2,1
Catelyn stark,Rodrik cassel,2,1
Catelyn stark,Stark guard,1,1
Catelyn stark,Theon greyjoy,3,1
Catelyn stark,Tyrion lannister,8,1
Catelyn stark,Vardis egen,4,1
