Source,Target,Weight,Season
All,Sansa,1,7
Archers,Jaime,1,7
Arya,Bran,4,7
Arya,Brienne,4,7
Arya,Hot pie,12,7
Arya,Sansa,47,7
Baelish,Bran,1,7
Baelish,Jon,2,7
Baelish,Sansa,3,7
Baelish,Wolkan,1,7
Benjen,Jon snow,1,7
Beric,Davos,1,7
Beric,Jon,9,7
Beric,Jon snow,2,7
Beric,Jorah,1,7
Beric,Sandor,12,7
Beric,Thoros,2,7
Beric,Tormud,1,7
Beric,Tormund,1,7
Bran,Arya,4,7
Bran,Baelish,2,7
Bran,Littlefinger,1,7
Bran,Lyanna,1,7
Bran,Meera,6,7
Bran,Sam,8,7
Bran,Sansa,14,7
Brienne,Jaime,2,7
Brienne,Podrick,2,7
Brienne,Sandor,5,7
Brienne,Sansa,6,7
Bronn,Davos,1,7
Bronn,Dickon,2,7
Bronn,Jaime,25,7
Bronn,Podrick,1,7
Bronn,Tyrion,3,7
Bronn,Varys,1,7
Captain,Theon,2,7
Cersei,Daenerys,3,7
Cersei,Euron,7,7
Cersei,Jaime,51,7
Cersei,Jon,4,7
Cersei,Messenger,1,7
Cersei,Qyburn,5,7
Cersei,Tycho,16,7
Cersei,Tyrion,17,7
Daenerys,Cersei,4,7
Daenerys,Davos,4,7
Daenerys,Ellaria,1,7
Daenerys,Jaime,1,7
Daenerys,Jon,35,7
Daenerys,Jon snow,4,7
Daenerys,Jorah,2,7
Daenerys,Melisandre,3,7
Daenerys,Melisdandre,1,7
Daenerys,Missandei,2,7
Daenerys,Oleanna,1,7
Daenerys,Olenna,1,7
Daenerys,Randyll,1,7
Daenerys,Tyrion,46,7
Daenerys,Varys,15,7
Daerneys,Tyrion,1,7
Davos,Beric,1,7
Davos,Daenerys,1,7
Davos,Daerneys,1,7
Davos,Gendry,9,7
Davos,Jon,11,7
Davos,Jorah,1,7
Davos,Missandei,4,7
Davos,Sansa,2,7
Davos,Theon,1,7
Davos,Tormund,1,7
Davos,Tyrion,7,7
Dickon,Bronn,1,7
Dickon,Jaime,5,7
Dickon,Randyll,3,7
Edd,Meera,1,7
Ellaria,Tyrion,1,7
Ellaria,Yara,6,7
Ellia,Tyrion,1,7
Ellia,Yara,1,7
Euron,Cersei,6,7
Euron,Jaime,6,7
Euron,Jon,1,7
Euron,Tyrion,3,7
Gendry,Beric,2,7
Gendry,Davos,10,7
Gendry,Jon,5,7
Gendry,Jon snow,1,7
Gendry,Sandor,3,7
Gendry,Thoros,2,7
Gendry,Tormund,2,7
Gilly,Sam,1,7
Gilly,Samwell,3,7
Grey worm,Missandei,5,7
Grey worm,Unsullied 1,1,7
Grey worm,Varys,1,7
Greyworm,Missandei,1,7
Harrag,Theon,5,7
Hot pie,Arya,12,7
Jaime,Brienne,3,7
Jaime,Bronn,22,7
Jaime,Cersei,52,7
Jaime,Daenerys,1,7
Jaime,Dickon,4,7
Jaime,Euron,5,7
Jaime,Olenna,13,7
Jaime,Randyll,8,7
Jaime,Tyrion,6,7
Jon,Baelish,1,7
Jon,Beric,10,7
Jon,Cersei,2,7
Jon,Daenerys,36,7
Jon,Davos,10,7
Jon,Euron,1,7
Jon,Gendry,4,7
Jon,Jorah,6,7
Jon,Missandei,5,7
Jon,Sansa,19,7
Jon,Theon,10,7
Jon,Thoros,1,7
Jon,Tormund,7,7
Jon,Tyrion,28,7
Jon snow,Benjen,1,7
Jon snow,Beric,1,7
Jon snow,Daenerys,5,7
Jon snow,Gendry,1,7
Jon snow,Jorah,2,7
Jon snow,Tormund,1,7
Jorah,Daenerys,3,7
Jorah,Gendry,1,7
Jorah,Jon,5,7
Jorah,Jon snow,1,7
Jorah,Marwyn,4,7
Jorah,Missandei,1,7
Jorah,Sam,1,7
Jorah,Samwell,5,7
Jorah,Sandor,1,7
Jorah,Thoros,1,7
Jorah,Tormund,2,7
Jorah,Tyrion,1,7
Littlefinger,Arya,1,7
Littlefinger,Sansa,26,7
Lyanna,Bran,1,7
Lyanna,Rhaegar,1,7
Lyanna,Robett,1,7
Lyanna mormont,Robett glover,1,7
Maester 1,Marwyn,2,7
Maester 1,Samwell,1,7
Maester 2,Marwyn,1,7
Marwyn,Jorah,4,7
Marwyn,Maester 1,3,7
