id,Label
AEMON,Aemon
ALL,All
ALL TOGETHER,All together
ALLISER,Alliser
ALLISER THORN,Alliser thorn
ALLISER THORNE,Alliser thorne
ARYA,Arya
AXELL FLORENT,Axell florent
BALON DWARF,Balon dwarf
BARRISTAN,Barristan
BARRISTAN SELMY,Barristan selmy
BOY,Boy
BRAN,Bran
BRIENNE,Brienne
BRON,Bron
BRONN,Bronn
CAPTAIN,Captain
CERSEI,Cersei
CESEI,Cesei
CHAMPION,Champion
COOPER,Cooper
DAAERIO,Daaerio
DAARIO,Daario
DAENERYS,Daenerys
DAEYNERYS,Daeynerys
DANY,Dany
DAV OS,Dav os
DAVOS,Davos
DENERYS,Denerys
DOLOROUD EDD,Doloroud edd
DOLOROUS EDD,Dolorous edd
DOLROUS EDD,Dolrous edd
DONNEL,Donnel
DORNISH LORD,Dornish lord
ED,Ed
ELDER MEEREEN SLAVE,Elder meereen slave
ELLARIA,Ellaria
EVERYONE,Everyone
FARMER HAMLET,Farmer hamlet
FENNESZ,Fennesz
FIRST MATE,First mate
GILLY,Gilly
GIRL,Girl
GOATHERD,Goatherd
GRENN,Grenn
GREY WORM,Grey worm
GUYMON,Guymon
HIGH SEPTON,High septon
HIZDAHR,Hizdahr
HODOR,Hodor
HOT PIE,Hot pie
HOUND,Hound
IRONBORN,Ironborn
JAIME,Jaime
JANOS,Janos
JANOS SLUNT,Janos slunt
JANOS SLYNT,Janos slynt
JOFFREY,Joffrey
JOFFREY DWARF,Joffrey dwarf
JOJEN,Jojen
JON,Jon
JORAH,Jorah
KARL,Karl
KARL TANNER,Karl tanner
KNIGHT,Knight
LADY ANYA,Lady anya
LHARA,Lhara
LITTLEFINGER,Littlefinger
LOCKE,Locke
LORAS,Loras
LORD BOLTON,Lord bolton
LORD ROYCE,Lord royce
LYSA,Lysa
MACE,Mace
MAESTER AEMON,Maester aemon
MAID,Maid
MARGAERY,Margaery
MEERA,Meera
MEEREEN SLAVE,Meereen slave
MELISANDRE,Melisandre
MEMBER 1,Member 1
MERYN,Meryn
MERYN TRANT,Meryn trant
MISSANDEI,Missandei
MOLE'S TOWN MADAM,Mole's town madam
MOLE'S TOWN WHORE,Mole's town whore
MORAG,Morag
MORGAN,Morgan
MORGAN'S FRIEND,Morgan's friend
MOSSADOR,Mossador
MOUNTAIN,Mountain
MUSICIAN,Musician
MYRANDA,Myranda
NIGHT'S WATCH,Night's watch
OBERYN,Oberyn
OLENNA,Olenna
OLLY,Olly
OLYVAR,Olyvar
PETYR,Petyr
PODRICK,Podrick
POLLIVER,Polliver
PYCELL,Pycell
PYCELLE,Pycelle
PYELLE,Pyelle
PYP,Pyp
QYBURN,Qyburn
RALF,Ralf
RAMSAY,Ramsay
RAST,Rast
RENLY DWARF,Renly dwarf
ROBB DWARF,Robb dwarf
ROBIN,Robin
ROOSE,Roose
RORGE,Rorge
SALLADOR,Sallador
SAM,Sam
SANSA,Sansa
SELYSE,Selyse
SER BARRISTAN,Ser barristan
SER DONTOS,Ser dontos
SER JORAH,Ser jorah
SER VANCE,Ser vance
SHAE,Shae
SHIREEN,Shireen
SISSY,Sissy
STANNIS,Stannis
STANNIS DWARF,Stannis dwarf
STYR,Styr
TANNER,Tanner
TANSAY,Tansay
TANSY,Tansy
THE HOUND,The hound
THE MOUNTAIN,The mountain
THEON,Theon
TOGETHER,Together
TORMUND,Tormund
TWYIN,Twyin
TYCHO,Tycho
TYRIOM,Tyriom
TYRION,Tyrion
TYWIN,Tywin
VARYS,Varys
WARG,Warg
YARA,Yara
YARWICK,Yarwick
YGRITTE,Ygritte
YTRION,Ytrion
[JOJEN,[jojen
YARWYCK,Yarwyck
CROWD,Crowd
SLAVES,Slaves
TYRON,Tyron
INNKEEPER,Innkeeper
CERSIE,Cersie
WALDA,Walda
