id,Label
AEMON,Aemon
ALLISER,Alliser
ANNOUNCER,Announcer
AREO,Areo
ARYA,Arya
BAELISH,Baelish
BANKER,Banker
BARRISTAN,Barristan
BLACK HAIRED PROSTITUTE,Black haired prostitute
BLONDE PROSTITUTE,Blonde prostitute
BRAND,Brand
BRIENNE,Brienne
BRONN,Bronn
BROTHER,Brother
BROTHERS,Brothers
BUYER,Buyer
CAPTAIN,Captain
CERSEI,Cersei
CROWD,Crowd
CUT TO ANOTHER TABLE IN THE INN,Cut to another table in the inn
DAARIO,Daario
DAENERYS,Daenerys
DANERYS,Danerys
DARIO,Dario
DAUGHTER,Daughter
DAVOS,Davos
DERRYK,Derryk
DORAN,Doran
EDD,Edd
ELARIA,Elaria
ELLARIA,Ellaria
GIANT,Giant
GILLY,Gilly
GREY WORM,Grey worm
HEAD,Head
HEAD PROSTITUTE,Head prostitute
HIGH SEPTON,High septon
HIGH SPARROW,High sparrow
HIZDAHR,Hizdahr
HUNTERS,Hunters
JAIME,Jaime
JANOS,Janos
JAQEN,Jaqen
JON,Jon
JORAH,Jorah
KARSI,Karsi
KEVAN,Kevan
KEVAN LANNISTER,Kevan lannister
LANCEL,Lancel
LOBODA,Loboda
LOLLYS,Lollys
LORAS,Loras
LORD OF BONES,Lord of bones
MACE,Mace
MACE TYRELL,Mace tyrell
MAGGY,Maggy
MALKO,Malko
MAN,Man
MARGAERY,Margaery
MASTER,Master
MELARA,Melara
MELISANDRE,Melisandre
MERYN,Meryn
MILITANT,Militant
MISSANDEI,Missandei
MOSADOR,Mosador
MOSSADOR,Mossador
MYRANDA,Myranda
MYRCELLA,Myrcella
NIGHT’S WATCH BROTHER,Night’s watch brother
NYMERIA,Nymeria
OBARA,Obara
OLENNA,Olenna
OLLY,Olly
OLYVAR,Olyvar
PODRICK,Podrick
PRIEST,Priest
PRIESTESS,Priestess
PROSTITUTE,Prostitute
PYCELLE,Pycelle
QUICK,Quick
QYBURN,Qyburn
RAMSAY,Ramsay
RIDER,Rider
ROOSE,Roose
ROYCE,Royce
SAM,Sam
SAMMY,Sammy
SAND SNAKES,Sand snakes
SANSA,Sansa
SELYSE,Selyse
SEPTA,Septa
SHADOW TOWER BROTHER,Shadow tower brother
SHIREEN,Shireen
SLAVER,Slaver
SPARROW,Sparrow
SQUIRE,Squire
STANNIS,Stannis
STRONG,Strong
THEON,Theon
TORMUND,Tormund
TRYSTANE,Trystane
TYENE,Tyene
TYRION,Tyrion
VARYS,Varys
WAIF,Waif
WAITRESS,Waitress
WALDA,Walda
WILDLING ELDER,Wildling elder
YOHN ROYCE,Yohn royce
GIRL,Girl
HIZDAHR ZO LORAQ,Hizdahr zo loraq
ALLISTER,Allister
SLAVE BUYER,Slave buyer
CLIENT,Client
BROTHEL KEEPER,Brothel keeper
WHITE RAT,White rat
SURVIVOR,Survivor
MASTER OF ARMS,Master of arms
