id,Label
ALL,All
ARCHERS,Archers
ARYA,Arya
BAELISH,Baelish
BENJEN,Benjen
BERIC,Beric
BRAN,Bran
BRIENNE,Brienne
BRONN,Bronn
CAPTAIN,Captain
CERSEI,Cersei
DAENERYS,Daenerys
DAERNEYS,Daerneys
DAVOS,Davos
DICKON,Dickon
EDD,Edd
ELLARIA,Ellaria
ELLIA,Ellia
EURON,Euron
GENDRY,Gendry
GILLY,Gilly
GREY WORM,Grey worm
GREYWORM,Greyworm
HARRAG,Harrag
HOT PIE,Hot pie
JAIME,Jaime
JON,Jon
JON SNOW,Jon snow
JORAH,Jorah
LITTLEFINGER,Littlefinger
LYANNA,Lyanna
LYANNA MORMONT,Lyanna mormont
MAESTER 1,Maester 1
MAESTER 2,Maester 2
MARWYN,Marwyn
MEERA,Meera
MELISANDRE,Melisandre
MELISDANDRE,Melisdandre
MESSENGER,Messenger
MISSANDEI,Missandei
NED & ALYS,Ned & alys
NYMERIA,Nymeria
OBARA,Obara
OLEANNA,Oleanna
OLENNA,Olenna
PETYR,Petyr
PODRICK,Podrick
QYBURN,Qyburn
RANDYLL,Randyll
ROBETT,Robett
SAM,Sam
SAMWELL,Samwell
SANDOR,Sandor
SANSA,Sansa
THEON,Theon
THOROS,Thoros
TORMUD,Tormud
TORMUND,Tormund
TYCHO,Tycho
TYENE,Tyene
TYRION,Tyrion
VARYS,Varys
WOLKAN,Wolkan
YARA,Yara
YOHN,Yohn
YOHN ROYCE,Yohn royce
UNSULLIED 1,Unsullied 1
RHAEGAR,Rhaegar
ROBETT GLOVER,Robett glover
