id,Label
ADDAM MARBRAND,Addam marbrand
ALL,All
ALLISER THORNE,Alliser thorne
ARYA,Arya
ARYA STARK,Arya stark
ASSASSIN,Assassin
BARRISTAN SELMY,Barristan selmy
BARRISTON,Barriston
BENJEN,Benjen
BENJEN STARK,Benjen stark
BERIC DONDARRION,Beric dondarrion
BRAN,Bran
BRAN STARK,Bran stark
BRANN STARK,Brann stark
BRONN,Bronn
CASSEL,Cassel
CATELYN,Catelyn
CATELYN STARK,Catelyn stark
CERSEI,Cersei
CERSEI BARATHEON,Cersei baratheon
CERSEI LANNISTER,Cersei lannister
COHOLLO,Cohollo
DAENARYS STORMBORN,Daenarys stormborn
DAENERYS,Daenerys
DAENERYS STORMBORN,Daenerys stormborn
DAENERYS TARGARYEN,Daenerys targaryen
DOREAH,Doreah
DOTHRAKI MAN,Dothraki man
EDDARD STARK,Eddard stark
EVERYONE,Everyone
GALBART GLOVER,Galbart glover
GARED,Gared
GENDRY,Gendry
GRAND MAESTER PYCELLE,Grand maester pycelle
GREATJON UMBER,Greatjon umber
GRENN,Grenn
GUARD,Guard
GUARD 1,Guard 1
GUARD 2,Guard 2
HOT PIE,Hot pie
HUGH OF THE VALE,Hugh of the vale
ILLYRIO,Illyrio
ILLYRIO MOPATIS,Illyrio mopatis
IRRI,Irri
JAIME,Jaime
JAIME LANNISTER,Jaime lannister
JANOS SLYNT,Janos slynt
JEOR MORMONT,Jeor mormont
JHIQUI,Jhiqui
JOFFREY BARATHEON,Joffrey baratheon
JON,Jon
JON SNOW,Jon snow
JONOS BRACKEN,Jonos bracken
JORAH,Jorah
JORAH MORMONT,Jorah mormont
JORY CASSEL,Jory cassel
KEVAN LANNISTER,Kevan lannister
KHAL DROGO,Khal drogo
KING JOFFREY,King joffrey
KINGS GUARD,Kings guard
KING’S LANDING BAKER,King’s landing baker
KING’S LANDING GUARD,King’s landing guard
KNIGHT 1,Knight 1
KNIGHT 2,Knight 2
KNIGHT 3,Knight 3
KNIGHT 4,Knight 4
KNIGHT 5,Knight 5
KNIGHT OF HOUSE BRACKEN,Knight of house bracken
KNIGHT OF HOUSE WHENT,Knight of house whent
LANCEL LANNISTER,Lancel lannister
LANNISTER SCOUT,Lannister scout
LEO LEFFORD,Leo lefford
LOMMY GREENHANDS,Lommy greenhands
LORAS TYRELL,Loras tyrell
LORD VARYS,Lord varys
LUWIN,Luwin
LYSA ARRYN,Lysa arryn
MAESTER AEMON,Maester aemon
MAESTER LUWIN,Maester luwin
MAGO,Mago
MAN,Man
MARILLION,Marillion
MARYN TRANT,Maryn trant
MASHA HEDDLE,Masha heddle
MERYN TRANT,Meryn trant
MESSENGER,Messenger
MHAEGEN,Mhaegen
MIRRI MAZ DUUR,Mirri maz duur
MORD,Mord
MORDANE,Mordane
MYCAH,Mycah
MYRCELLA BARATHEON,Myrcella baratheon
NED,Ned
NED STARK,Ned stark
NIGHTS WATCH BROTHER,Nights watch brother
OLD NAN,Old nan
OSHA,Osha
OTHELL YARWYCK,Othell yarwyck
PETYR BAELISH,Petyr baelish
POPULACE,Populace
PROSTITUTE,Prostitute
PYP,Pyp
PYPAR,Pypar
QOTHO,Qotho
RAKHARO,Rakharo
RAST,Rast
RENLY BARATHEON,Renly baratheon
RHAKARO,Rhakaro
RICKARD KARSTARK,Rickard karstark
RICKON STARK,Rickon stark
ROBB,Robb
ROBB STARK,Robb stark
ROBERT,Robert
ROBERT BARATHEON,Robert baratheon
ROBIN ARRYN,Robin arryn
RODRICK CASSEL,Rodrick cassel
RODRIK CASSEL,Rodrik cassel
ROS,Ros
ROYCE,Royce
RYGER RIVERS,Ryger rivers
"SAM, PYP, AND GRENN","Sam, pyp, and grenn"
SAMWELL TARLY,Samwell tarly
SANDOR CLEGANE,Sandor clegane
SANSA,Sansa
SANSA STARK,Sansa stark
SEPTA MORDANE,Septa mordane
SER ALLISER,Ser alliser
SER VARDIS,Ser vardis
SHAE,Shae
SHAGGA,Shagga
SOLDIER,Soldier
SOLDIER 1,Soldier 1
SOLDIER 2,Soldier 2
STABLE BOY,Stable boy
STARK BANNERMEN,Stark bannermen
STARK GUARD,Stark guard
STEVRON FREY,Stevron frey
STEWARD,Steward
STREET URCHIN,Street urchin
SYRIO FOREL,Syrio forel
TELL ME SOMETHING,Tell me something
THE HOUND,The hound
THEON,Theon
THEON GREYJOY,Theon greyjoy
TOBHO MOTT,Tobho mott
TYRION,Tyrion
TYRION LANNISTER,Tyrion lannister
TYWIN LANNISTER,Tywin lannister
VARDIS EGEN,Vardis egen
VARLY,Varly
VARYS,Varys
VISERYS,Viserys
VISERYS TARGARYEN,Viserys targaryen
WALDER FREY,Walder frey
WAYMAR ROYCE,Waymar royce
WILDLING,Wildling
WILDLING 2,Wildling 2
WILL,Will
WINE MERCHANT,Wine merchant
YOREN,Yoren
LANNISTER SOLDIER ,Lannister soldier 
KING'S LANDING PAGE,King's landing page
EDDARK STARK,Eddark stark
VOICES OUTSIDE,Voices outside
NIGHT WATCH STABLE BOY,Night watch stable boy
DEANERYS TARGARIAN,Deanerys targarian
JAMIE LANNISTER,Jamie lannister
A VOICE,A voice
JAREMY RYKKER,Jaremy rykker
