Source,Target,Weight,Season
Arya,Bran,1,8
Arya,Gendry,16,8
Arya,Jon,12,8
Arya,Melisandre,2,8
Arya,Nora,2,8
Arya,Sandor,3,8
Arya,Sansa,14,8
Arya,The hound,7,8
Arya,Yara,1,8
Beric,Arya,1,8
Beric,Hound,1,8
Beric,Jon,1,8
Both,Tyrion,1,8
Bran,Arya,1,8
Bran,Bronn,1,8
Bran,Grey worm,2,8
Bran,Jaime,7,8
Bran,Jon,2,8
Bran,Littlefinger,1,8
Bran,Lyanna,1,8
Bran,Sam,8,8
Bran,Samwell,1,8
Bran,Theon,2,8
Bran,Tyrion,10,8
Brienne,Bronn,1,8
Brienne,Davos,2,8
Brienne,Jaime,18,8
Brienne,Podrick,1,8
Brienne,Sandor,5,8
Brienne,Sansa,2,8
Brienne,Tormund,3,8
Brienne,Tyrion,4,8
Bronn,Brienne,2,8
Bronn,Davos,4,8
Bronn,Jaime,8,8
Bronn,Podrick,1,8
Bronn,Sam,3,8
Bronn,Tyrion,13,8
Bronn,Varys,1,8
Cersei,Daenerys,3,8
Cersei,Eurion,1,8
Cersei,Euron,3,8
Cersei,Jaime,22,8
Cersei,Jon,4,8
Cersei,Qyburn,7,8
Cersei,Tyrion,17,8
Daenerys,Cersei,4,8
Daenerys,Davos,1,8
Daenerys,Gendry,5,8
Daenerys,Jaime,3,8
Daenerys,Jon,27,8
Daenerys,Jorah,6,8
Daenerys,Missandei,1,8
Daenerys,Sansa,13,8
Daenerys,Theon,2,8
Daenerys,Tyrion,23,8
Daenerys,Varys,4,8
Davos,Bronn,1,8
Davos,Gendry,1,8
Davos,Gilly,1,8
Davos,Grey worm,2,8
Davos,Sam,1,8
Davos,Theon,1,8
Davos,Tormund,1,8
Davos,Tyrion,13,8
Dornish prince,Robin,1,8
Edd,Jon,2,8
Edd,Samwell,2,8
Eurion,Cersei,1,8
Euron,Cersei,1,8
Euron,Jaime,3,8
Euron,Jon,1,8
Euron,Tyrion,3,8
Gendry,Arya,14,8
Gendry,Daenerys,3,8
Gendry,The hound,2,8
Gendry,Vale lord,1,8
Gilly,Sam,1,8
Grey worm,Bran,3,8
Grey worm,Davos,3,8
Grey worm,Jon,2,8
Grey worm,Melisandre,1,8
Grey worm,Missandei,2,8
Grey worm,Sansa,3,8
Grey worm,Tyrion,1,8
Grey worm,Unsullied captain,1,8
Harrag,Theon,5,8
