Source,Target,Weight,Season
Aemon,All together,1,4
Aemon,Sam,9,4
All,High septon,1,4
All together,Aemon,1,4
All together,Grenn,1,4
Alliser,Ed,1,4
Alliser,Grenn,1,4
Alliser,Janos,3,4
Alliser,Jon,11,4
Alliser,Night's watch,4,4
Alliser,Yarwick,1,4
Alliser thorn,Grenn,1,4
Alliser thorn,Jon,2,4
Alliser thorne,Janos slynt,1,4
Alliser thorne,Jon,5,4
Alliser thorne,Locke,2,4
Alliser thorne,Maester aemon,3,4
Alliser thorne,Pyp,1,4
Alliser thorne,Yarwyck,1,4
Arya,Brienne,13,4
Arya,Captain,6,4
Arya,Farmer hamlet,2,4
Arya,Hound,37,4
Arya,Polliver,2,4
Arya,Rorge,1,4
Arya,The hound,21,4
Axell florent,Melisandre,2,4
Axell florent,Selyse,1,4
Balon dwarf,Joffrey dwarf,1,4
Balon dwarf,Robb dwarf,2,4
Balon dwarf,Stannis dwarf,1,4
Barristan,Daenerys,5,4
Barristan,Jorah,3,4
Barristan selmy,Daenerys,1,4
Barristan selmy,Daeynerys,1,4
Barristan selmy,Missandei,1,4
Boy,Petyr,1,4
Bran,Girl,1,4
Bran,Hodor,6,4
Bran,Jojen,6,4
Bran,Locke,1,4
Bran,Meera,9,4
Bran,Tanner,1,4
Brienne,Arya,14,4
Brienne,Cersei,5,4
Brienne,Hot pie,10,4
Brienne,Hound,6,4
Brienne,Jaime,8,4
Brienne,Joffrey,1,4
Brienne,Margaery,3,4
Brienne,Olenna,2,4
Brienne,Podrick,25,4
Bron,Locke,1,4
Bronn,Jaime,8,4
Bronn,Oberyn,2,4
Bronn,Tyrion,28,4
Captain,Arya,7,4
Cersei,Brienne,5,4
Cersei,Jaime,44,4
Cersei,Joffrey,1,4
Cersei,Mace,1,4
Cersei,Margaery,11,4
Cersei,Oberyn,18,4
Cersei,Pycelle,9,4
Cersei,Qyburn,4,4
Cersei,Ser dontos,3,4
Cersei,The mountain,1,4
Cersei,Tywin,33,4
Cersei,Varys,4,4
Cesei,Tywin,1,4
Champion,Jorah,1,4
Cooper,Donnel,1,4
Daaerio,Daenerys,1,4
Daario,Barristan,1,4
Daario,Daenerys,13,4
Daario,Grey worm,1,4
Daenerys,Barristan,5,4
Daenerys,Barristan selmy,2,4
Daenerys,Champion,2,4
Daenerys,Crowd,1,4
Daenerys,Daario,15,4
Daenerys,Fennesz,7,4
Daenerys,Grey worm,2,4
Daenerys,Hizdahr,8,4
Daenerys,Jorah,21,4
Daenerys,Missandei,9,4
Daenerys,Slaves,1,4
